用户ID (User ID),用户行为 (User behaviour),博主ID (Blogger ID),时间 (Time)
U7,1,B7,2024-07-22 00:41:16
U7,1,B12,2024-07-22 00:44:45
U7,1,B27,2024-07-22 01:13:26
U7,3,B27,2024-07-22 01:13:26
U7,1,B21,2024-07-22 01:20:09
U7,2,B21,2024-07-22 01:20:09
U26844,1,B8,2024-07-22 00:10:58
U26844,2,B8,2024-07-22 00:10:58
U26844,1,B23,2024-07-22 00:21:39
U26844,1,B24,2024-07-22 00:30:39
U26844,2,B24,2024-07-22 00:30:39
U26844,3,B24,2024-07-22 00:30:39
U26844,1,B7,2024-07-22 00:40:38
U26844,2,B7,2024-07-22 00:40:38
U26844,1,B13,2024-07-22 00:46:50
U26844,3,B13,2024-07-22 00:46:50
U36775,1,B13,2024-07-22 06:39:36
U36775,2,B13,2024-07-22 06:39:36
U36775,3,B13,2024-07-22 06:39:36
U36775,1,B72,2024-07-22 06:52:25
U36775,2,B72,2024-07-22 06:52:25
U36775,3,B72,2024-07-22 06:52:25
U36775,1,B3,2024-07-22 07:08:07
U36775,2,B3,2024-07-22 07:08:07
U36775,1,B16,2024-07-22 07:27:31
U36775,2,B16,2024-07-22 07:27:31
U10,1,B8,2024-07-22 02:20:10
U10,2,B8,2024-07-22 02:20:10
U10,3,B8,2024-07-22 02:20:10
U10,1,B2,2024-07-22 02:25:19
U10,2,B2,2024-07-22 02:25:19
U10,1,B13,2024-07-22 02:39:30
U10,2,B13,2024-07-22 02:39:30
U10,1,B4,2024-07-22 03:05:58
U10,3,B4,2024-07-22 03:05:58
U10,1,B72,2024-07-22 04:04:04
U10,1,B12,2024-07-22 07:47:33
U10,2,B12,2024-07-22 07:47:33
U10,3,B12,2024-07-22 07:47:33
U10,1,B76,2024-07-22 08:04:18
U10,2,B76,2024-07-22 08:04:18
U10,1,B7,2024-07-22 08:07:35
U10,1,B25,2024-07-22 08:30:28
U10,3,B25,2024-07-22 08:30:28
U14,1,B26,2024-07-22 00:00:05
U14,1,B12,2024-07-22 00:12:06
U14,1,B27,2024-07-22 00:31:16
U14,2,B27,2024-07-22 00:31:16
U17036,1,B22,2024-07-22 00:10:12
U17036,2,B22,2024-07-22 00:10:12
U17036,1,B2,2024-07-22 00:36:56
U17036,3,B2,2024-07-22 00:36:56
U17036,1,B7,2024-07-22 00:58:51
U30,1,B72,2024-07-22 04:55:36
U30,1,B15,2024-07-22 04:58:31
U30,1,B21,2024-07-22 04:59:18
U30,1,B5,2024-07-22 05:01:55
U30,2,B5,2024-07-22 05:01:55
U30,1,B4,2024-07-22 05:17:11
U30,3,B4,2024-07-22 05:17:11
U30,1,B60,2024-07-22 06:05:37
U30,2,B60,2024-07-22 06:05:37
U30,1,B15,2024-07-22 06:13:43
U30,3,B15,2024-07-22 06:13:43
U30,1,B13,2024-07-22 06:16:50
U30,2,B13,2024-07-22 06:16:50
U17065,1,B17,2024-07-22 01:50:43
U17065,2,B17,2024-07-22 01:50:43
U17065,1,B15,2024-07-22 02:01:29
U17065,1,B23,2024-07-22 02:10:32
U17065,2,B23,2024-07-22 02:10:32
U17065,1,B76,2024-07-22 02:16:23
U17065,2,B76,2024-07-22 02:16:23
U17065,1,B45,2024-07-22 05:05:42
U17065,2,B45,2024-07-22 05:05:42
U17065,1,B59,2024-07-22 05:07:05
U17065,2,B59,2024-07-22 05:07:05
U17065,1,B44,2024-07-22 05:07:43
U17065,2,B44,2024-07-22 05:07:43
U17065,1,B47,2024-07-22 05:08:26
U17065,3,B47,2024-07-22 05:08:26
U17065,1,B52,2024-07-22 05:10:21
U17065,2,B52,2024-07-22 05:10:21
U17065,1,B10,2024-07-22 05:12:41
U17065,2,B10,2024-07-22 05:12:41
U49,1,B18,2024-07-22 06:09:28
U49,2,B18,2024-07-22 06:09:28
U49,1,B5,2024-07-22 06:12:41
U49,2,B5,2024-07-22 06:12:41
U49,1,B60,2024-07-22 06:14:56
U49,3,B60,2024-07-22 06:14:56
U49,1,B21,2024-07-22 06:15:17
U49,2,B21,2024-07-22 06:15:17
U50,1,B72,2024-07-22 00:29:12
U50,2,B72,2024-07-22 00:29:12
U50,1,B15,2024-07-22 00:32:08
U50,1,B21,2024-07-22 00:33:28
U50,2,B21,2024-07-22 00:33:28
U50,1,B5,2024-07-22 00:34:56
U53,1,B21,2024-07-22 04:01:16
U53,2,B21,2024-07-22 04:01:16
U53,1,B15,2024-07-22 04:03:12
U53,3,B15,2024-07-22 04:03:12
U53,1,B10,2024-07-22 04:12:39
U53,2,B10,2024-07-22 04:12:39
U53,1,B51,2024-07-22 04:16:32
U61,1,B21,2024-07-22 01:30:08
U61,1,B15,2024-07-22 01:32:16
U61,3,B15,2024-07-22 01:32:16
U61,1,B47,2024-07-22 01:40:41
U61,2,B47,2024-07-22 01:40:41
U61,1,B42,2024-07-22 01:41:29
U61,2,B42,2024-07-22 01:41:29
U26874,1,B72,2024-07-22 05:37:13
U26874,1,B16,2024-07-22 05:40:47
U26874,2,B16,2024-07-22 05:40:47
U26874,1,B25,2024-07-22 05:41:36
U26874,2,B25,2024-07-22 05:41:36
U26874,1,B23,2024-07-22 05:44:01
U26874,1,B4,2024-07-22 05:45:37
U26874,1,B76,2024-07-22 05:46:25
U26874,1,B23,2024-07-22 07:05:05
U26874,1,B24,2024-07-22 07:05:42
U26874,1,B10,2024-07-22 07:14:55
U26874,2,B10,2024-07-22 07:14:55
U26874,1,B35,2024-07-22 07:17:08
U26874,2,B35,2024-07-22 07:17:08
U63,1,B52,2024-07-22 02:25:31
U63,2,B52,2024-07-22 02:25:31
U63,1,B47,2024-07-22 02:27:12
U63,2,B47,2024-07-22 02:27:12
U63,1,B44,2024-07-22 02:28:39
U63,3,B44,2024-07-22 02:28:39
U63,1,B59,2024-07-22 02:29:20
U63,2,B59,2024-07-22 02:29:20
U63,1,B59,2024-07-22 04:07:03
U63,2,B59,2024-07-22 04:07:03
U63,1,B47,2024-07-22 04:08:14
U63,1,B52,2024-07-22 04:10:35
U63,2,B52,2024-07-22 04:10:35
U63,1,B43,2024-07-22 04:11:39
U63,3,B43,2024-07-22 04:11:39
U63,1,B46,2024-07-22 04:14:05
U63,3,B46,2024-07-22 04:14:05
U63,1,B51,2024-07-22 04:15:08
U70,1,B15,2024-07-22 00:34:32
U70,1,B21,2024-07-22 00:35:24
U70,1,B5,2024-07-22 00:36:58
U70,2,B5,2024-07-22 00:36:58
U70,1,B2,2024-07-22 00:39:54
U70,3,B2,2024-07-22 00:39:54
U70,1,B6,2024-07-22 00:42:33
U70,2,B6,2024-07-22 00:42:33
U70,1,B3,2024-07-22 01:00:27
U70,2,B3,2024-07-22 01:00:27
U70,3,B3,2024-07-22 01:00:27
U26880,1,B12,2024-07-22 00:08:06
U26880,1,B72,2024-07-22 00:08:41
U26880,1,B52,2024-07-22 00:35:59
U26880,2,B52,2024-07-22 00:35:59
U26880,3,B52,2024-07-22 00:35:59
U17102,1,B42,2024-07-22 00:53:43
U17102,3,B42,2024-07-22 00:53:43
U17102,1,B47,2024-07-22 00:54:25
U17102,2,B47,2024-07-22 00:54:25
U17102,1,B44,2024-07-22 00:55:09
U17102,2,B44,2024-07-22 00:55:09
U17102,1,B59,2024-07-22 00:55:54
U17102,3,B59,2024-07-22 00:55:54
U17102,1,B24,2024-07-22 01:07:41
U17102,2,B24,2024-07-22 01:07:41
U17102,1,B34,2024-07-22 01:08:26
U101,1,B15,2024-07-22 01:55:15
U101,1,B21,2024-07-22 01:57:40
U101,3,B21,2024-07-22 01:57:40
U101,1,B5,2024-07-22 02:03:02
U101,1,B20,2024-07-22 02:08:45
U101,3,B20,2024-07-22 02:08:45
U101,1,B18,2024-07-22 02:09:29
U101,2,B18,2024-07-22 02:09:29
U101,1,B19,2024-07-22 02:11:03
U101,2,B19,2024-07-22 02:11:03
U105,1,B44,2024-07-22 02:46:21
U105,1,B59,2024-07-22 02:46:46
U105,2,B59,2024-07-22 02:46:46
U105,1,B45,2024-07-22 02:47:39
U105,2,B45,2024-07-22 02:47:39
U105,1,B13,2024-07-22 02:51:46
U105,2,B13,2024-07-22 02:51:46
U105,1,B7,2024-07-22 02:54:17
U105,2,B7,2024-07-22 02:54:17
U105,1,B8,2024-07-22 02:56:50
U105,2,B8,2024-07-22 02:56:50
